Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Steven Adams,5,29,MEM,3.7,6.3,0.597,0.0,0.0,0.0,3.7,6.2,0.599,5.1,6.5,11.5,2.3,0.9,1.1,0
Bam Adebayo,5,25,MIA,8.0,14.9,0.54,0.0,0.2,0.083,8.0,14.7,0.545,2.5,6.7,9.2,3.2,1.2,0.8,1
Jarrett Allen,5,24,CLE,5.9,9.2,0.644,0.0,0.1,0.1,5.9,9.1,0.653,3.3,6.5,9.8,1.7,0.8,1.2,1
Deandre Ayton,5,24,PHO,7.8,13.2,0.589,0.1,0.4,0.292,7.7,12.9,0.597,2.6,7.4,10.0,1.7,0.6,0.8,1
Udoka Azubuike,5,23,UTA,1.6,2.0,0.819,0.0,0.0,0.0,1.6,2.0,0.819,0.9,2.4,3.3,0.3,0.2,0.4,1
Marvin Bagley III,5,23,DET,4.8,9.1,0.529,0.5,1.6,0.288,4.4,7.5,0.579,2.2,4.2,6.4,0.9,0.5,0.7,0
Mo Bamba,5,24,TOT,2.4,4.9,0.485,1.0,2.5,0.387,1.4,2.4,0.59,1.2,3.4,4.6,0.9,0.3,0.9,1
Charles Bassey,5,22,SAS,2.5,3.9,0.644,0.1,0.2,0.375,2.4,3.6,0.661,2.1,3.4,5.5,1.3,0.5,0.9,0
Zach Collins,5,25,SAS,4.5,8.7,0.518,0.9,2.3,0.374,3.6,6.4,0.571,1.8,4.5,6.4,2.9,0.6,0.8,0
Khem Birch,5,30,TOR,1.0,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.4,0.9,1.3,0.4,0.3,0.3,1
Bismack Biyombo,5,30,PHO,2.0,3.4,0.578,0.0,0.0,0.0,2.0,3.4,0.578,1.5,2.8,4.3,0.9,0.3,1.4,0
Tony Bradley,5,25,CHI,0.5,1.0,0.5,0.3,0.4,0.6,0.3,0.6,0.429,0.1,0.8,0.9,0.1,0.1,0.1,0
Moses Brown,5,23,TOT,1.7,2.7,0.635,0.0,0.0,0.0,1.7,2.7,0.635,1.6,2.3,3.9,0.1,0.1,0.4,0
Thomas Bryant,5,25,TOT,3.9,6.3,0.623,0.4,1.0,0.441,3.5,5.3,0.658,1.5,4.3,5.7,0.5,0.3,0.5,0
John Butler,5,20,POR,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.2,0.7,0.9,0.6,0.4,0.5,1
Clint Capela,5,28,ATL,5.4,8.2,0.653,0.0,0.0,0.0,5.4,8.2,0.654,4.0,7.1,11.0,0.9,0.7,1.2,0
Vernon Carey Jr.,5,21,WAS,0.2,0.7,0.25,0.0,0.0,0.0,0.2,0.7,0.25,0.3,0.7,1.0,0.3,0.2,0.2,0
Wendell Carter Jr.,5,23,ORL,5.6,10.8,0.525,1.4,3.9,0.356,4.2,6.8,0.624,2.1,6.6,8.7,2.3,0.5,0.6,0
Goga Bitadze,5,23,TOT,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,1.6,2.0,3.6,1.0,0.4,0.7,0
Jay Huff,5,24,WAS,2.1,3.6,0.6,0.9,1.7,0.5,1.3,1.9,0.692,0.9,2.1,3.0,1.4,0.4,0.6,0
